Boundary Name,Boundary Type,Construction Type,Insulation Details,Received From,Assembly R Value,Finish Type
Adjacent Attic Wall,Standard,,,MF_300 - bldg0000019,2.639702463970247,
Adjacent Ceiling,Standard,,,MF_100 - bldg0000012,0.5699086620495835,
Adjacent Floor,Standard,,,MF_100 - bldg0000012,0.2599816849816849,
Adjacent Foundation Wall,Crawlspace,Crawlspace,,MF_100 - bldg0000023,0.6398467432950191,
Adjacent Foundation Wall,Finished Basement,Finished Basement,,MF_300 - bldg0000059,1.0898272552783108,
Adjacent Foundation Wall,Unfinished Basement,Unfinished Basement,,MF_300 - bldg0000010,0.6398467432950191,
Adjacent Rim Joist,Standard,,,MF_100 - bldg0000023,2.639702463970247,
Adjacent Wall,ConcreteMasonryUnit,ConcreteMasonryUnit,,MF_100 - bldg0000054,2.639702463970247,
Adjacent Wall,StructuralBrick,StructuralBrick,,MF_100 - bldg0000035,2.639702463970247,
Adjacent Wall,WoodStud,WoodStud,,MF_100 - bldg0000012,2.639702463970247,
Attic Floor,Minimal,,Minimal,Fully_minimal (Denver),498.3762296,
Attic Floor,R-13,,R-13,MF_100 - bldg0000015,13.06789413118527,
Attic Floor,R-19,,R-19,MF_100 - bldg0000005,19.066487575554063,
Attic Floor,R-30,,R-30,MF_100 - bldg0000002,30.0582318687136,
Attic Floor,R-38,,R-38,MF_100 - bldg0000001,38.056300268096514,
Attic Floor,R-49,,R-49,MF_100 - bldg0000019,49.07519446845289,
Attic Floor,R-60,,R-60,MF_300 - bldg0000146,60.05923418658769,
Attic Floor,R-7,,R-7,MF_100 - bldg0000014,7.168286832470647,
Attic Floor,Uninsulated,,Uninsulated,MF_300 - bldg0000012,0.5699086620495835,
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched",Pitched,"Unfinished, Uninsulated",MF_100 - bldg0000001,1.3896231032794908,asphalt or fiberglass shingles
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier","Pitched, Radiant Barrier","Unfinished, Uninsulated",MF_300 - bldg0000034,1.3896231032794908,asphalt or fiberglass shingles
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched",Pitched,"Unfinished, Uninsulated",MF_100 - bldg0000005,1.3896231032794908,metal surfacing
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched, Radiant Barrier","Pitched, Radiant Barrier","Unfinished, Uninsulated",MF_300 - bldg0000032,1.3896231032794908,metal surfacing
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched",Pitched,"Unfinished, Uninsulated",MF_100 - bldg0000057,1.3896231032794908,slate or tile shingles
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier","Pitched, Radiant Barrier","Unfinished, Uninsulated",MF_300 - bldg0000012,1.3896231032794908,slate or tile shingles
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched",Pitched,"Unfinished, Uninsulated",MF_100 - bldg0000003,1.3896231032794908,wood shingles or shakes
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched, Radiant Barrier","Pitched, Radiant Barrier","Unfinished, Uninsulated",MF_300 - bldg0000131,1.3896231032794908,wood shingles or shakes
Attic Wall,Minimal,,Minimal,Copied from Minimal Exterior Wall,499.04339459999994,
Attic Wall,"WoodStud, aluminum siding, Est. R-3.1",WoodStud,Est. R-3.1,MF_300 - bldg0000089,3.1232123212321232,aluminum siding
Attic Wall,"WoodStud, asbestos siding, Est. R-3.1",WoodStud,Est. R-3.1,MF_300 - bldg0000032,3.1232123212321232,asbestos siding
Attic Wall,"WoodStud, brick veneer, Est. R-3.1",WoodStud,Est. R-3.1,MF_100 - bldg0000004,3.1232123212321232,brick veneer
Attic Wall,"WoodStud, composite shingle siding, Est. R-3.1",WoodStud,Est. R-3.1,MF_100 - bldg0000019,3.1232123212321232,composite shingle siding
Attic Wall,"WoodStud, fiber cement siding, Est. R-3.1",WoodStud,Est. R-3.1,MF_300 - bldg0000025,3.1232123212321232,fiber cement siding
Attic Wall,"WoodStud, stucco, Est. R-3.1",WoodStud,Est. R-3.1,MF_100 - bldg0000007,3.1232123212321232,stucco
